	Tissue
GTEX-13VXU-3026-SM-5LU3K	Brain - Cerebellum
GTEX-QVUS-0011-R10A-SM-3GIK3	Brain - Frontal Cortex (BA9)
GTEX-Y8DK-0011-R3A-SM-4RTW5	Brain - Anterior cingulate cortex (BA24)
GTEX-T6MN-0011-R6A-SM-32QP8	Brain - Nucleus accumbens (basal ganglia)
GTEX-131YS-0011-R1a-SM-5DUXC	Brain - Hippocampus
GTEX-13PDP-0011-R1a-SM-5PNX5	Brain - Hippocampus
GTEX-1C6VR-0011-R8b-SM-7MXUF	Brain - Hypothalamus
GTEX-1399T-0011-R4b-SM-5DUVX	Brain - Amygdala
GTEX-1GZ2Q-0011-R2b-SM-9OSWO	Brain - Substantia nigra
GTEX-13NYB-3226-SM-5J2ND	Brain - Cerebellum
GTEX-1LB8K-0011-R2a-SM-EZ6MQ	Brain - Substantia nigra
GTEX-1EX96-0011-R6a-SM-9OSVV	Brain - Nucleus accumbens (basal ganglia)
GTEX-1HR98-0011-R3b-SM-A9G1U	Brain - Anterior cingulate cortex (BA24)
GTEX-17JCI-0011-R1b-SM-718A3	Brain - Hippocampus
GTEX-1F48J-2826-SM-7P8R4	Brain - Cortex
GTEX-QDT8-0011-R7A-SM-32PKF	Brain - Putamen (basal ganglia)
GTEX-18464-0011-R11a-SM-72D76	Brain - Cerebellar Hemisphere
GTEX-13IVO-0011-R6b-SM-5K7X9	Brain - Nucleus accumbens (basal ganglia)
GTEX-1E1VI-3026-SM-7RHHU	Brain - Cortex
GTEX-1H3O1-1726-SM-9WYSR	Brain - Cortex
GTEX-13SLX-0011-R11b-SM-5O9C8	Brain - Cerebellar Hemisphere
GTEX-1RQEC-0011-R9a-SM-EZ6N3	Brain - Spinal cord (cervical c-1)
GTEX-13JVG-0011-R1a-SM-5KM32	Brain - Hippocampus
GTEX-N7MS-0011-R11A-SM-2HMJS	Brain - Cerebellar Hemisphere
GTEX-ZYFD-2926-SM-5GID9	Brain - Cerebellum
GTEX-N7MT-0011-R7a-SM-2I3FZ	Brain - Putamen (basal ganglia)
GTEX-1IGQW-0011-R6a-SM-CM2TC	Brain - Nucleus accumbens (basal ganglia)
GTEX-1F6IF-0011-R1b-SM-9WG78	Brain - Hippocampus
GTEX-11DXW-0011-R1a-SM-DNZZD	Brain - Hippocampus
GTEX-13NYC-2826-SM-5K7WR	Brain - Cortex
GTEX-13PDP-0011-R8b-SM-5O9CS	Brain - Hypothalamus
GTEX-13X6K-0011-R7b-SM-5P9K7	Brain - Putamen (basal ganglia)
GTEX-11NUK-2926-SM-5A5MD	Brain - Cortex
GTEX-1JMOU-0011-R3a-SM-EYYXN	Brain - Anterior cingulate cortex (BA24)
GTEX-14E7W-0011-R4b-SM-62LEA	Brain - Amygdala
GTEX-1GF9V-0011-R9a-SM-CL53K	Brain - Spinal cord (cervical c-1)
GTEX-11PRG-0011-R4a-SM-DNZZR	Brain - Amygdala
GTEX-13RTJ-0011-R10b-SM-5O9CW	Brain - Frontal Cortex (BA9)
GTEX-1313W-0011-R4b-SM-5KLZV	Brain - Amygdala
GTEX-1269C-3126-SM-5EGI6	Brain - Cerebellum
GTEX-1GN1V-0011-R8a-SM-CKZNV	Brain - Hypothalamus
GTEX-1H3VE-2826-SM-9WPOL	Brain - Cerebellum
GTEX-13OW6-0011-R11a-SM-5L3H2	Brain - Cerebellar Hemisphere
GTEX-1H3VE-0011-R11b-SM-C1YRP	Brain - Cerebellar Hemisphere
GTEX-1C6VQ-0011-R10b-SM-7P8Q1	Brain - Frontal Cortex (BA9)
GTEX-14PQA-0011-R5b-SM-6AJC2	Brain - Caudate (basal ganglia)
GTEX-1JMOU-2726-SM-CY8IO	Brain - Cortex
GTEX-ZDXO-2126-SM-4WKFI	Brain - Cortex
GTEX-1F6I4-3126-SM-7P8SD	Brain - Cortex
GTEX-1H3O1-0011-R3a-SM-ACKVD	Brain - Anterior cingulate cortex (BA24)
GTEX-1HBPI-0011-R10a-SM-A96RZ	Brain - Frontal Cortex (BA9)
GTEX-13112-0011-R1b-SM-5HL7K	Brain - Hippocampus
GTEX-1E1VI-2926-SM-7IGLT	Brain - Cerebellum
GTEX-1I1HK-0011-R8b-SM-E8VN9	Brain - Hypothalamus
GTEX-WZTO-2826-SM-3NM8P	Brain - Cerebellum
GTEX-13NYB-0011-R11a-SM-5KM3Q	Brain - Cerebellar Hemisphere
GTEX-1LSVX-0011-R4b-SM-EXURP	Brain - Amygdala
GTEX-X4XX-0011-R11A-SM-46MWQ	Brain - Cerebellar Hemisphere
GTEX-13OW8-0011-R10a-SM-5L3H6	Brain - Frontal Cortex (BA9)
GTEX-X585-0011-R1B-SM-46MVE	Brain - Hippocampus
GTEX-14BIN-0011-R3b-SM-6AJBL	Brain - Anterior cingulate cortex (BA24)
GTEX-1EH9U-0011-R3b-SM-CL534	Brain - Anterior cingulate cortex (BA24)
GTEX-1H4P4-0011-R11b-SM-CE6S8	Brain - Cerebellar Hemisphere
GTEX-1IL2U-0011-R2a-SM-ARU6V	Brain - Substantia nigra
GTEX-N7MS-0011-R7a-SM-2HMKN	Brain - Putamen (basal ganglia)
GTEX-13FXS-0011-R10a-SM-5J2MA	Brain - Frontal Cortex (BA9)
GTEX-13X6J-0011-R8b-SM-5PNUA	Brain - Hypothalamus
GTEX-14LZ3-0011-R5b-SM-5ZZV8	Brain - Caudate (basal ganglia)
GTEX-ZVZQ-0011-R3a-SM-57WC7	Brain - Anterior cingulate cortex (BA24)
GTEX-1E1VI-0011-R2a-SM-9QEGS	Brain - Substantia nigra
GTEX-15CHQ-0011-R3b-SM-686ZY	Brain - Anterior cingulate cortex (BA24)
GTEX-P44H-2426-SM-2XCEJ	Brain - Cerebellum
GTEX-13FHP-2926-SM-5IJG9	Brain - Cerebellum
GTEX-1A8G6-0011-R6b-SM-7P8PE	Brain - Nucleus accumbens (basal ganglia)
GTEX-1H23P-0011-R3b-SM-CL54S	Brain - Anterior cingulate cortex (BA24)
GTEX-13CF2-0011-R5a-SM-5LZWS	Brain - Caudate (basal ganglia)
GTEX-11DYG-0011-R8a-SM-DO93F	Brain - Hypothalamus
GTEX-1EKGG-0011-R2a-SM-CE6R8	Brain - Substantia nigra
GTEX-1GN73-0011-R5a-SM-9QEIM	Brain - Caudate (basal ganglia)
GTEX-1I1CD-0011-R8b-SM-CJI3X	Brain - Hypothalamus
GTEX-13OW5-0011-R6b-SM-5O9BW	Brain - Nucleus accumbens (basal ganglia)
GTEX-QVJO-0011-R7A-SM-2S1QO	Brain - Putamen (basal ganglia)
GTEX-X4XX-0011-R10B-SM-46MWO	Brain - Frontal Cortex (BA9)
GTEX-13FHO-0011-R10b-SM-5J2MM	Brain - Frontal Cortex (BA9)
GTEX-15CHQ-0011-R6b-SM-69LOX	Brain - Nucleus accumbens (basal ganglia)
GTEX-13N2G-0011-R11a-SM-5MR3F	Brain - Cerebellar Hemisphere
GTEX-15DDE-0011-R9b-SM-6M46U	Brain - Spinal cord (cervical c-1)
GTEX-1IY9M-3026-SM-A9G37	Brain - Cortex
GTEX-13OW7-0011-R8b-SM-5L3HR	Brain - Hypothalamus
GTEX-12ZZZ-0011-R3b-SM-5DUXK	Brain - Anterior cingulate cortex (BA24)
GTEX-S7SE-0011-R4A-SM-2XCDB	Brain - Amygdala
GTEX-N7MT-0011-R10A-SM-2I3E1	Brain - Frontal Cortex (BA9)
GTEX-11WQC-0011-R10a-SM-57WCT	Brain - Frontal Cortex (BA9)
GTEX-1B8SG-0011-R11a-SM-7P8PF	Brain - Cerebellar Hemisphere
GTEX-ZVZQ-0011-R9a-SM-51MRH	Brain - Spinal cord (cervical c-1)
GTEX-QMR6-0011-R7A-SM-32PKL	Brain - Putamen (basal ganglia)
GTEX-X4XY-0011-R6B-SM-46MVB	Brain - Nucleus accumbens (basal ganglia)
GTEX-13OVH-0011-R6b-SM-5LUAX	Brain - Nucleus accumbens (basal ganglia)
GTEX-11TTK-0011-R5a-SM-DNZZV	Brain - Caudate (basal ganglia)
GTEX-1GMR8-0011-R2a-SM-CE6RD	Brain - Substantia nigra
GTEX-13N2G-0011-R6b-SM-5MR3P	Brain - Nucleus accumbens (basal ganglia)
GTEX-13FXS-0011-R7a-SM-5L3FC	Brain - Putamen (basal ganglia)
GTEX-13OVL-0011-R5b-SM-5L3FU	Brain - Caudate (basal ganglia)
GTEX-144GL-0011-R1a-SM-5PNZ5	Brain - Hippocampus
GTEX-QVUS-2926-SM-3GIJB	Brain - Cerebellum
GTEX-QVUS-0011-R4A-SM-3GAE7	Brain - Amygdala
GTEX-145MG-0011-R5b-SM-5S2VU	Brain - Caudate (basal ganglia)
GTEX-1A3MX-3026-SM-731BF	Brain - Cortex
GTEX-1J8EW-0011-R5b-SM-ARU8B	Brain - Caudate (basal ganglia)
GTEX-P44G-0011-R6A-SM-2XCD3	Brain - Nucleus accumbens (basal ganglia)
GTEX-11TTK-0011-R8b-SM-DO111	Brain - Hypothalamus
GTEX-1N2DW-0011-R6a-SM-EZ6MW	Brain - Nucleus accumbens (basal ganglia)
GTEX-13FLV-0011-R7b-SM-5K7WW	Brain - Putamen (basal ganglia)
GTEX-1B8L1-0011-R10b-SM-7P8Q4	Brain - Frontal Cortex (BA9)
GTEX-1I1GQ-0011-R11b-SM-CKZPA	Brain - Cerebellar Hemisphere
GTEX-132Q8-0011-R11b-SM-5DUW9	Brain - Cerebellar Hemisphere
GTEX-1LG7Y-0011-R11a-SM-EXOIH	Brain - Cerebellar Hemisphere
GTEX-18464-0011-R10a-SM-72D6X	Brain - Frontal Cortex (BA9)
GTEX-12WSA-0011-R7b-SM-5GU5U	Brain - Putamen (basal ganglia)
GTEX-1EX96-0011-R1a-SM-CE6R5	Brain - Hippocampus
GTEX-117XS-3126-SM-5GIDP	Brain - Cerebellum
GTEX-14LLW-0011-R3b-SM-62LFW	Brain - Anterior cingulate cortex (BA24)
GTEX-16YQH-0011-R6b-SM-7938T	Brain - Nucleus accumbens (basal ganglia)
GTEX-1GF9W-0011-R1a-SM-9QEIQ	Brain - Hippocampus
GTEX-XMD1-0011-R8A-SM-4AT48	Brain - Hypothalamus
GTEX-13RTJ-0011-R3a-SM-5PNX7	Brain - Anterior cingulate cortex (BA24)
GTEX-1I1GS-0011-R3b-SM-CYPS7	Brain - Anterior cingulate cortex (BA24)
GTEX-11TTK-0011-R6b-SM-DNZZW	Brain - Nucleus accumbens (basal ganglia)
GTEX-11ZUS-2826-SM-5EQKW	Brain - Cerebellum
GTEX-15RJE-0011-R6a-SM-7DHL8	Brain - Nucleus accumbens (basal ganglia)
GTEX-1KD4Q-0011-R11b-SM-EXOIE	Brain - Cerebellar Hemisphere
GTEX-YFC4-0011-R1a-SM-4V6EH	Brain - Hippocampus
GTEX-ZE9C-3026-SM-4WKHB	Brain - Cortex
GTEX-1HCVE-3026-SM-CL54G	Brain - Cortex
GTEX-11TTK-2826-SM-5GU5K	Brain - Cerebellum
GTEX-WVLH-0011-R7A-SM-3MJFB	Brain - Putamen (basal ganglia)
GTEX-1F75A-0011-R8a-SM-CL539	Brain - Hypothalamus
GTEX-17HG3-0011-R10b-SM-7LT97	Brain - Frontal Cortex (BA9)
GTEX-NPJ8-0011-R8a-SM-2HMLG	Brain - Hypothalamus
GTEX-14C39-3126-SM-5ZZW6	Brain - Cortex
GTEX-183WM-0011-R8a-SM-7189W	Brain - Hypothalamus
GTEX-P44H-0011-R4A-SM-2XCEW	Brain - Amygdala
GTEX-1J8Q2-0011-R2b-SM-EAZ2X	Brain - Substantia nigra
GTEX-1A8G6-0011-R1a-SM-7P8PC	Brain - Hippocampus
GTEX-1IGQW-0011-R9b-SM-D4P25	Brain - Spinal cord (cervical c-1)
GTEX-1445S-0011-R8a-SM-5PNWX	Brain - Hypothalamus
GTEX-1CB4H-3126-SM-7IGN4	Brain - Cortex
GTEX-1JJ6O-0011-R9a-SM-EYYXP	Brain - Spinal cord (cervical c-1)
GTEX-1A32A-0011-R9b-SM-7MGXD	Brain - Spinal cord (cervical c-1)
GTEX-14753-0011-R10b-SM-5S2WE	Brain - Frontal Cortex (BA9)
GTEX-13JUV-0011-R10b-SM-5LZXR	Brain - Frontal Cortex (BA9)
GTEX-1F75A-0011-R5a-SM-ARZMJ	Brain - Caudate (basal ganglia)
GTEX-13FXS-0011-R2b-SM-5K7XX	Brain - Substantia nigra
GTEX-TSE9-0011-R4A-SM-3DB7H	Brain - Amygdala
GTEX-13RTL-0011-R1a-SM-5PNZ8	Brain - Hippocampus
GTEX-12WSC-0011-R3a-SM-5P9F1	Brain - Anterior cingulate cortex (BA24)
GTEX-13N1W-0011-R3a-SM-5MR5E	Brain - Anterior cingulate cortex (BA24)
GTEX-13X6I-0011-R5a-SM-5PNWW	Brain - Caudate (basal ganglia)
GTEX-TSE9-0011-R1A-SM-3DB7E	Brain - Hippocampus
GTEX-WWYW-0011-R6A-SM-3NB3G	Brain - Nucleus accumbens (basal ganglia)
GTEX-14ASI-2926-SM-5Q5DG	Brain - Cerebellum
GTEX-1I1GV-0011-R11a-SM-CJI3Z	Brain - Cerebellar Hemisphere
GTEX-Y111-2826-SM-4TT3O	Brain - Cerebellum
GTEX-16Z82-0011-R5a-SM-7EPGB	Brain - Caudate (basal ganglia)
GTEX-UTHO-0011-R10A-SM-3GIJQ	Brain - Frontal Cortex (BA9)
GTEX-OHPN-0011-R6A-SM-2I5FH	Brain - Nucleus accumbens (basal ganglia)
GTEX-1HCVE-0011-R8a-SM-ARU7A	Brain - Hypothalamus
GTEX-11WQK-3026-SM-5EQL6	Brain - Cortex
GTEX-15EO6-0011-R11b-SM-6M47M	Brain - Cerebellar Hemisphere
GTEX-P44H-0011-R5A-SM-2XCEX	Brain - Caudate (basal ganglia)
GTEX-12WSD-0011-R4b-SM-5LZUA	Brain - Amygdala
GTEX-16YQH-0011-R5b-SM-7938U	Brain - Caudate (basal ganglia)
GTEX-132Q8-0011-R2b-SM-5EQ5Z	Brain - Substantia nigra
GTEX-ZAB4-0011-R3a-SM-4RGNQ	Brain - Anterior cingulate cortex (BA24)
GTEX-1EU9M-0011-R9a-SM-9WG61	Brain - Spinal cord (cervical c-1)
GTEX-1LVAO-0011-R4a-SM-EXURO	Brain - Amygdala
GTEX-13OW7-0011-R1b-SM-5L3HF	Brain - Hippocampus
GTEX-1H3O1-1826-SM-A96TO	Brain - Cerebellum
GTEX-P44G-0011-R3A-SM-2I3FC	Brain - Anterior cingulate cortex (BA24)
GTEX-15ER7-0011-R1b-SM-7KUE1	Brain - Hippocampus
GTEX-OHPN-0011-R11A-SM-2I5FM	Brain - Cerebellar Hemisphere
GTEX-N7MS-0011-R10A-SM-2HMJK	Brain - Frontal Cortex (BA9)
GTEX-13NYB-3026-SM-5IJD7	Brain - Cortex
GTEX-1399T-3026-SM-5KLZC	Brain - Cortex
GTEX-11ZUS-0011-R9b-SM-5BC76	Brain - Spinal cord (cervical c-1)
GTEX-16YQH-3026-SM-79OMM	Brain - Cortex
GTEX-17F97-3026-SM-79OKC	Brain - Cortex
GTEX-1EH9U-0011-R5a-SM-CJI2K	Brain - Caudate (basal ganglia)
GTEX-1I19N-0011-R5b-SM-ARU6X	Brain - Caudate (basal ganglia)
GTEX-13X6I-0011-R10a-SM-5PNWI	Brain - Frontal Cortex (BA9)
GTEX-12WSA-0011-R8a-SM-5P9EX	Brain - Hypothalamus
GTEX-13NYB-0011-R4b-SM-9QEGJ	Brain - Amygdala
GTEX-13X6I-0011-R11a-SM-5P9HN	Brain - Cerebellar Hemisphere
GTEX-18464-0011-R5b-SM-718A6	Brain - Caudate (basal ganglia)
GTEX-147F4-0011-R10b-SM-5S2WC	Brain - Frontal Cortex (BA9)
GTEX-14JFF-2826-SM-6871Q	Brain - Cerebellum
GTEX-1OJC4-2826-SM-E6CQX	Brain - Cortex
GTEX-11GSP-3126-SM-5A5LL	Brain - Cerebellum
GTEX-1H3O1-0011-R7a-SM-CE6SJ	Brain - Putamen (basal ganglia)
GTEX-Y8DK-0011-R11A-SM-4SOK2	Brain - Cerebellar Hemisphere
GTEX-1PWST-3026-SM-EAZ3H	Brain - Cerebellum
GTEX-13O3O-0011-R2b-SM-5P9H1	Brain - Substantia nigra
GTEX-13JVG-3226-SM-5IJGJ	Brain - Cerebellum
GTEX-13OW6-0011-R5a-SM-5O9BK	Brain - Caudate (basal ganglia)
GTEX-13SLW-0011-R6a-SM-5O9BH	Brain - Nucleus accumbens (basal ganglia)
GTEX-11WQC-0011-R5a-SM-5BC74	Brain - Caudate (basal ganglia)
GTEX-147F4-3026-SM-5Q5BJ	Brain - Cerebellum
GTEX-145MH-0011-R1b-SM-5PNWY	Brain - Hippocampus
GTEX-TSE9-0011-R6A-SM-3DB7L	Brain - Nucleus accumbens (basal ganglia)
GTEX-14JFF-0011-R4a-SM-5ZZV5	Brain - Amygdala
GTEX-NPJ7-0011-R5a-SM-33HBK	Brain - Caudate (basal ganglia)
GTEX-1F48J-0011-R7a-SM-CJI2G	Brain - Putamen (basal ganglia)
GTEX-QVUS-0011-R6A-SM-3GACX	Brain - Nucleus accumbens (basal ganglia)
GTEX-Q2AG-0011-R10A-SM-2HMLA	Brain - Frontal Cortex (BA9)
GTEX-ZE7O-0011-R10a-SM-57WAZ	Brain - Frontal Cortex (BA9)
GTEX-144GL-0011-R8a-SM-5Q5B1	Brain - Hypothalamus
GTEX-16XZZ-0011-R9b-SM-7DHKX	Brain - Spinal cord (cervical c-1)
GTEX-1F88F-0011-R9b-SM-9WG7L	Brain - Spinal cord (cervical c-1)
GTEX-1EX96-0011-R7a-SM-9OSVW	Brain - Putamen (basal ganglia)
GTEX-1H1ZS-3026-SM-9KNUJ	Brain - Cortex
GTEX-17JCI-0011-R10b-SM-718A2	Brain - Frontal Cortex (BA9)
GTEX-1GN73-3026-SM-7MXV8	Brain - Cerebellum
GTEX-1ICLZ-0011-R8b-SM-ACKX4	Brain - Hypothalamus
GTEX-1192X-0011-R10a-SM-DO941	Brain - Frontal Cortex (BA9)
GTEX-1EX96-0011-R10b-SM-CE6QR	Brain - Frontal Cortex (BA9)
GTEX-1HCU6-3126-SM-CL54L	Brain - Cortex
GTEX-13OW7-0011-R4b-SM-5O9CX	Brain - Amygdala
GTEX-1F6I4-0011-R9a-SM-CMKFU	Brain - Spinal cord (cervical c-1)
GTEX-13PL6-0011-R5b-SM-5O9BI	Brain - Caudate (basal ganglia)
GTEX-13OW8-0011-R6b-SM-5L3I3	Brain - Nucleus accumbens (basal ganglia)
GTEX-13OVL-0011-R7a-SM-5P9GW	Brain - Putamen (basal ganglia)
GTEX-NPJ8-0011-R10A-SM-2YUMO	Brain - Frontal Cortex (BA9)
GTEX-1GZ2Q-0011-R1a-SM-CJI2Y	Brain - Hippocampus
GTEX-13OVJ-0011-R9b-SM-5L3GD	Brain - Spinal cord (cervical c-1)
GTEX-1GMRU-0011-R10b-SM-CJI2L	Brain - Frontal Cortex (BA9)
GTEX-QMR6-0011-R11A-SM-32PKK	Brain - Cerebellar Hemisphere
GTEX-1I1GR-0011-R6a-SM-CMKHI	Brain - Nucleus accumbens (basal ganglia)
GTEX-1CB4H-0011-R10b-SM-9QEH3	Brain - Frontal Cortex (BA9)
GTEX-13112-0011-R5b-SM-5DUV8	Brain - Caudate (basal ganglia)
GTEX-1RNSC-0011-R5a-SM-EZ6N5	Brain - Caudate (basal ganglia)
GTEX-1GMRU-0011-R11b-SM-C1YQ4	Brain - Cerebellar Hemisphere
GTEX-QMR6-1326-SM-32PLB	Brain - Cerebellum
GTEX-1GF9W-0011-R11b-SM-9OSXG	Brain - Cerebellar Hemisphere
GTEX-15CHQ-0011-R2b-SM-6AJAD	Brain - Substantia nigra
GTEX-13JVG-0011-R5a-SM-5MR4O	Brain - Caudate (basal ganglia)
GTEX-NL4W-0011-R6a-SM-2I3GA	Brain - Nucleus accumbens (basal ganglia)
GTEX-13O3Q-0011-R3a-SM-5P9H3	Brain - Anterior cingulate cortex (BA24)
GTEX-ZUA1-0011-R10a-SM-51MT6	Brain - Frontal Cortex (BA9)
GTEX-1EWIQ-0011-R1a-SM-9OSX7	Brain - Hippocampus
GTEX-1LB8K-0011-R9a-SM-EZ6MP	Brain - Spinal cord (cervical c-1)
GTEX-13OVJ-0011-R6b-SM-5L3GH	Brain - Nucleus accumbens (basal ganglia)
GTEX-18A6Q-0011-R6a-SM-7LG6R	Brain - Nucleus accumbens (basal ganglia)
GTEX-11DZ1-0011-R10b-SM-DO943	Brain - Frontal Cortex (BA9)
GTEX-1H2FU-0011-R5b-SM-CL552	Brain - Caudate (basal ganglia)
GTEX-1H1CY-0011-R5a-SM-CM2SN	Brain - Caudate (basal ganglia)
GTEX-1H3NZ-0011-R5a-SM-CM2SP	Brain - Caudate (basal ganglia)
GTEX-ZDXO-0011-R11a-SM-4WWD9	Brain - Cerebellar Hemisphere
GTEX-14PN4-0011-R11a-SM-686ZW	Brain - Cerebellar Hemisphere
GTEX-1CB4J-0011-R1a-SM-9WG64	Brain - Hippocampus
GTEX-1F48J-0011-R10a-SM-9QEIB	Brain - Frontal Cortex (BA9)
GTEX-14BMV-0011-R7b-SM-5YY9J	Brain - Putamen (basal ganglia)
GTEX-11ZVC-0011-R1b-SM-5BC6M	Brain - Hippocampus
GTEX-1I1CD-0011-R7a-SM-CMKHA	Brain - Putamen (basal ganglia)
GTEX-1GF9W-0011-R7b-SM-9QEIF	Brain - Putamen (basal ganglia)
GTEX-1I1GV-0011-R1a-SM-CL559	Brain - Hippocampus
GTEX-PWO3-0011-R6A-SM-2I5F3	Brain - Nucleus accumbens (basal ganglia)
GTEX-T5JC-0011-R4A-SM-32PLT	Brain - Amygdala
GTEX-X261-0011-R7A-SM-4E3JJ	Brain - Putamen (basal ganglia)
GTEX-17JCI-3126-SM-7LTA2	Brain - Cortex
GTEX-ZVT3-0011-R6a-SM-51MSU	Brain - Nucleus accumbens (basal ganglia)
GTEX-131XW-0011-R11a-SM-5DUV9	Brain - Cerebellar Hemisphere
GTEX-15CHQ-0011-R11b-SM-686ZZ	Brain - Cerebellar Hemisphere
GTEX-1CB4J-0011-R4b-SM-9WG5P	Brain - Amygdala
GTEX-NPJ8-0011-R2a-SM-2TC6M	Brain - Substantia nigra
GTEX-13JUV-0011-R6b-SM-5LZYG	Brain - Nucleus accumbens (basal ganglia)
GTEX-UTHO-0011-R2A-SM-3GIKC	Brain - Substantia nigra
GTEX-14BIM-0011-R2b-SM-69LQ6	Brain - Substantia nigra
GTEX-WVLH-0011-R5A-SM-3MJFW	Brain - Caudate (basal ganglia)
GTEX-14ABY-0011-R9a-SM-5PNZK	Brain - Spinal cord (cervical c-1)
GTEX-QDT8-3026-SM-32PKB	Brain - Cerebellum
GTEX-11OF3-0011-R8b-SM-57WCS	Brain - Hypothalamus
GTEX-1H3NZ-0011-R4a-SM-CL54T	Brain - Amygdala
GTEX-1F75W-0011-R1a-SM-ARU81	Brain - Hippocampus
GTEX-13X6K-0011-R6a-SM-5P9K6	Brain - Nucleus accumbens (basal ganglia)
GTEX-1I1HK-2726-SM-AHZ2M	Brain - Cerebellum
GTEX-ZAB4-0011-R2a-SM-4RGNP	Brain - Substantia nigra
GTEX-14753-0011-R5a-SM-5S2VW	Brain - Caudate (basal ganglia)
GTEX-1JJEA-0011-R3b-SM-EXUTD	Brain - Anterior cingulate cortex (BA24)
GTEX-1HFI6-0011-R3b-SM-A9SKB	Brain - Anterior cingulate cortex (BA24)
GTEX-1IY9M-0011-R7a-SM-D4P49	Brain - Putamen (basal ganglia)
GTEX-1GZ2Q-0011-R3a-SM-A96RP	Brain - Anterior cingulate cortex (BA24)
GTEX-131YS-0011-R7a-SM-5IJDA	Brain - Putamen (basal ganglia)
GTEX-1F52S-0011-R7b-SM-9QEH8	Brain - Putamen (basal ganglia)
GTEX-13SLX-0011-R8b-SM-5PNWZ	Brain - Hypothalamus
GTEX-13NYB-0011-R5a-SM-5MR45	Brain - Caudate (basal ganglia)
GTEX-11DZ1-0011-R5a-SM-DO11J	Brain - Caudate (basal ganglia)
GTEX-ZDXO-0011-R2b-SM-4WKFG	Brain - Substantia nigra
GTEX-14BIN-3226-SM-62LDR	Brain - Cortex
GTEX-YJ89-0011-R10a-SM-4SOK9	Brain - Frontal Cortex (BA9)
GTEX-1H1DG-0011-R4a-SM-CE6RQ	Brain - Amygdala
GTEX-13FHO-0011-R11b-SM-5LZYQ	Brain - Cerebellar Hemisphere
GTEX-11DZ1-0011-R6b-SM-DNZZG	Brain - Nucleus accumbens (basal ganglia)
GTEX-1I1GR-0011-R3a-SM-CM2T4	Brain - Anterior cingulate cortex (BA24)
GTEX-1KANB-3226-SM-D4P3G	Brain - Cerebellum
GTEX-13QJC-0011-R2b-SM-5PNUN	Brain - Substantia nigra
GTEX-YJ89-0011-R9a-SM-4SOK7	Brain - Spinal cord (cervical c-1)
GTEX-1JN6P-0011-R4a-SM-EZ6MS	Brain - Amygdala
GTEX-UTHO-2926-SM-3P5Z9	Brain - Cerebellum
GTEX-15G19-0011-R10b-SM-7KUG4	Brain - Frontal Cortex (BA9)
GTEX-132Q8-0011-R5a-SM-5IJDM	Brain - Caudate (basal ganglia)
GTEX-14BIN-0011-R7b-SM-5S2RI	Brain - Putamen (basal ganglia)
GTEX-14PN4-0011-R1b-SM-69LP8	Brain - Hippocampus
GTEX-13OVH-0011-R11b-SM-5KM4X	Brain - Cerebellar Hemisphere
GTEX-17EVP-0011-R3a-SM-7EPI9	Brain - Anterior cingulate cortex (BA24)
GTEX-1GMR8-0011-R1b-SM-CJI2O	Brain - Hippocampus
GTEX-1N2EE-0011-R3b-SM-EXURY	Brain - Anterior cingulate cortex (BA24)
GTEX-1J1OQ-0011-R9b-SM-ARZMK	Brain - Spinal cord (cervical c-1)
GTEX-N7MS-0011-R8a-SM-2YUMK	Brain - Hypothalamus
GTEX-1GZ4I-0011-R4a-SM-9QEI9	Brain - Amygdala
GTEX-11ZUS-0011-R11b-SM-5BC7B	Brain - Cerebellar Hemisphere
GTEX-1GZ4I-2926-SM-9JGGO	Brain - Cerebellum
GTEX-11WQC-0011-R6a-SM-5BC77	Brain - Nucleus accumbens (basal ganglia)
GTEX-12WSF-3126-SM-6M478	Brain - Cortex
GTEX-T5JC-2326-SM-32PMR	Brain - Cerebellum
GTEX-13OVJ-0011-R4b-SM-5P9H5	Brain - Amygdala
GTEX-131YS-0011-R10b-SM-5EQ5N	Brain - Frontal Cortex (BA9)
GTEX-X4XX-3026-SM-3NMB2	Brain - Cortex
GTEX-11EMC-0011-R8b-SM-DO91Z	Brain - Hypothalamus
GTEX-UTHO-0011-R1A-SM-3GIJO	Brain - Hippocampus
GTEX-12ZZZ-0011-R4b-SM-5DUV7	Brain - Amygdala
GTEX-1EMGI-0011-R2b-SM-9OSVS	Brain - Substantia nigra
GTEX-13NYS-0011-R11b-SM-5MR4P	Brain - Cerebellar Hemisphere
GTEX-1399T-0011-R6b-SM-5K7YL	Brain - Nucleus accumbens (basal ganglia)
GTEX-13OW6-0011-R1a-SM-5L3HQ	Brain - Hippocampus
GTEX-13O3O-0011-R8b-SM-5LUAL	Brain - Hypothalamus
GTEX-1H23P-0011-R1a-SM-ACKVC	Brain - Hippocampus
GTEX-1A8G7-0011-R2a-SM-7IGQI	Brain - Substantia nigra
GTEX-1GZ2Q-3226-SM-9WG6L	Brain - Cortex
GTEX-1GN1U-0011-R9b-SM-CMKFW	Brain - Spinal cord (cervical c-1)
GTEX-144GO-0011-R7b-SM-5S2TT	Brain - Putamen (basal ganglia)
GTEX-13FHO-0011-R6b-SM-5LZX1	Brain - Nucleus accumbens (basal ganglia)
GTEX-13CIG-0011-R9a-SM-5K7VU	Brain - Spinal cord (cervical c-1)
